project,groupId,cloneType,consistId,inconsistentGroup,fileNum
dbeaver,12147,3,0,4#3,2
dbeaver,12147,3,0,6#5,2
dbeaver,10916,3,0,7#8,1
dbeaver,10916,3,0,8#7,1
dbeaver,10916,3,0,9#10,1
dbeaver,10916,3,0,15#16,1
dbeaver,10916,3,0,16#15,1
dbeaver,10916,3,0,17#18,1
dbeaver,10916,3,0,19#20,1
dbeaver,10916,3,0,20#19,1
dbeaver,10916,3,0,25#26,1
dbeaver,10916,3,0,26#25,1
dbeaver,10916,3,0,27#28,1
dbeaver,10916,3,0,28#27,1
dbeaver,10916,3,0,29#30,1
dbeaver,10916,3,0,31#32,1
dbeaver,10313,3,0,3#4,2
dbeaver,10313,3,0,5#6,2
dbeaver,10313,3,0,7#8,2
dbeaver,10313,3,0,9#10,2
dbeaver,10313,3,0,11#12,2
dbeaver,10313,3,0,12#11,2
dbeaver,10313,3,0,14#13,2
dbeaver,10313,3,0,17#18,2
dbeaver,10278,3,0,4#3,2
dbeaver,10918,3,0,4#3,1
dbeaver,10918,3,0,7#8,1
dbeaver,10918,3,0,8#7,1
dbeaver,10277,3,0,4#3,2
dbeaver,10277,3,0,6#5,2
dbeaver,101129,3,0,4#3,2
dbeaver,101129,3,0,7#8,2
dbeaver,101129,3,0,8#7,2
dbeaver,101129,3,0,10#9,2
dbeaver,101129,3,0,11#12,2
dbeaver,101129,3,0,12#11,2
dbeaver,101129,3,0,14#13,2
dbeaver,101129,3,0,16#15,2
dbeaver,10121,3,0,6#5,2
dbeaver,10121,3,0,8#7,2
dbeaver,10121,3,0,9#10,2
dbeaver,10121,3,0,10#9,2
dbeaver,10311,3,0,3#4,2
dbeaver,10311,3,0,8#7,2
dbeaver,10924,3,0,10#9,2
dbeaver,10924,3,0,11#12,2
dbeaver,10265,3,0,4#3,2
dbeaver,10265,3,0,12#11,2
dbeaver,10265,3,0,16#15,2
dbeaver,10265,3,0,18#17,2
dbeaver,101103,3,0,6#5,2
dbeaver,10542,3,0,3#4,2
dbeaver,10542,3,0,7#8,2
dbeaver,10190,3,0,9#10,2
dbeaver,10263,2,0,4#3,2
dbeaver,10263,3,0,8#7,2
dbeaver,10523,3,0,4#3,2
dbeaver,10523,3,0,6#5,2
dbeaver,10523,3,0,7#8,2
dbeaver,10244,3,0,4#3,2
dbeaver,10284,2,0,9#10,2
dbeaver,10824,2,0,7#8,2
dbeaver,10999,3,0,4#3,2
dbeaver,10999,3,0,5#6,2
dbeaver,10999,3,0,6#5,2
dbeaver,10999,3,0,7#8,2
dbeaver,10999,3,0,8#7,2
dbeaver,101124,2,0,11#12,2
dbeaver,101022,3,0,3#4,1
dbeaver,101022,3,0,4#3,1
dbeaver,12934,2,0,7#8,1
dbeaver,101046,3,0,6#5,2
dbeaver,101046,3,0,8#7,2
dbeaver,101046,3,0,10#9,2
dbeaver,10302,3,0,3#4,2
dbeaver,10302,3,0,7#8,2
dbeaver,10302,3,0,9#10,2
dbeaver,10302,3,0,12#11,2
dbeaver,10526,3,0,18#17,2
dbeaver,10526,3,0,19#20,2
dbeaver,10526,3,0,21#22,2
dbeaver,10526,3,0,23#24,2
dbeaver,10526,3,0,25#26,2
dbeaver,10526,3,0,26#25,2
dbeaver,10526,3,0,27#28,2
dbeaver,10526,3,0,28#27,2
dbeaver,10517,2,0,12#11,2
dbeaver,10907,1,0,6#5,2
dbeaver,10907,2,0,14#13,2
dbeaver,101138,3,0,10#9,1
dbeaver,101138,3,0,12#11,1
dbeaver,101138,3,0,14#13,1
dbeaver,10973,3,0,7#8,2
dbeaver,10973,3,0,9#10,2
dbeaver,10973,3,0,12#11,2
dbeaver,10889,3,0,4#3,2
dbeaver,10889,3,0,5#6,2
dbeaver,10889,3,0,7#8,2
dbeaver,10889,3,0,11#12,2
dbeaver,10889,3,0,13#14,2
dbeaver,10889,3,0,14#13,2
dbeaver,10889,3,0,15#16,2
dbeaver,10889,3,0,17#18,2
dbeaver,10889,3,0,18#17,2
dbeaver,10533,3,0,5#6,1
dbeaver,10533,3,0,7#8,1
dbeaver,10533,3,0,9#10,1
dbeaver,10533,3,0,12#11,1
dbeaver,10125,3,0,3#4,2
dbeaver,10125,3,0,5#6,2
dbeaver,10125,3,0,8#7,2
dbeaver,10125,3,0,12#11,2
dbeaver,10518,3,0,12#11,2
dbeaver,10803,3,0,7#8,2
dbeaver,10803,3,0,10#9,2
dbeaver,10803,3,0,11#12,2
dbeaver,10803,3,0,13#14,2
dbeaver,10747,3,0,5#6,2
dbeaver,101134,2,0,6#5,2
dbeaver,10681,3,0,7#8,2
dbeaver,11424,3,0,3#4,1
dbeaver,10350,3,0,6#5,2
